Protein Names,Gene Names,Majority Protein IDs,LFQ Intensity [log10],Sequence Coverage [%],Number of Peptides,FDA-approved Biomarker,Act in Plasma ,Tissue Leakage ,Receptor Ligands,Concentration according to Plasma Proteome Database [log10(pg/ml)],Q-value
Calumenin,CALU,O43852;O43852-4;H0Y875;F5H1Q9;O43852-2;O43852-3,6.47,3.2,1,,,,,NaN,0.003
"Carbamoyl-phosphate synthase [ammonia], mitochondrial",CPS1,P31327;H0YGP4;P31327-2,8.69,14.0,19,,,,,4.04,0.000
Carbonic anhydrase 1,CA1,P00915;E5RHP7;E5RH81;E5RIF9;E5RG43;E5RGU8;E5RFL2;E5RFE7,8.69,35.2,8,,,,,5.77,0.000
Carbonic anhydrase 2,CA2,P00918;E5RID5;E5RK37,NaN,3.5,1,,,,,4.62,0.000
Carbonic anhydrase 6,CA6,F8W148;E7EMQ1;P23280;Q5FC00,7.10,7.5,1,,,,,NaN,0.006
Carbonyl reductase [NADPH] 1,CBR1,P16152,6.96,4.0,1,,,,,NaN,0.009
Carboxypeptidase B2,CPB2,Q96IY4;Q96IY4-2,9.31,20.1,9,,,,,5.85,0.000
Carboxypeptidase N catalytic chain,CPN1,P15169,9.67,37.1,12,,,,,5.86,0.000
Carboxypeptidase N subunit 2,CPN2,P22792,9.35,16.7,8,,,,,6.30,0.000
Carboxypeptidase Q,CPQ,Q9Y646;E5RJA8,8.04,6.1,2,,,,,NaN,0.000
Cartilage acidic protein 1,CRTAC1,Q9NQ79;Q9NQ79-3;Q9NQ79-2;Q5T4F6,8.95,20.3,12,,,,,4.43,0.000
Cartilage intermediate layer protein 1;Cartilage intermediate layer protein 1 C1;Cartilage intermediate layer protein 1 C2,CILP,O75339,7.72,1.6,2,,,,,NaN,0.000
Cartilage oligomeric matrix protein,COMP,G3XAP6;E9PFW4;B4DKJ3;P49747;CON__ENSEMBL:ENSBTAP00000006074,8.91,10.2,7,,,,,6.05,0.000
Caspase recruitment domain-containing protein 9,CARD9,Q9H257;Q9H257-3;Q9H257-2,8.28,2.2,1,,,,,NaN,0.009
Caspase-14;Caspase-14 subunit p19;Caspase-14 subunit p10,CASP14,P31944,8.67,8.3,2,,,,,3.28,0.000
Catalase,CAT,P04040,8.37,14.4,6,,,,,5.34,0.000
Cathelicidin antimicrobial peptide;Antibacterial protein FALL-39;Antibacterial protein LL-37,CAMP,P49913,8.10,9.4,2,,,,,5.57,0.000
Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,CTSB,P07858;B4DMY4;F5H2P9,6.96,7.4,2,,,,,4.97,0.000
Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain,CTSD,P07339;F8WD96;C9JH19;F8W787,8.01,8.5,2,,,,,5.26,0.000
Cathepsin F,CTSF,Q9UBX1;H0YD65,7.29,1.9,1,,,,,NaN,0.000
Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain,CTSL,P07711;Q5T8F0,7.08,3.6,1,,,,,3.94,0.000
Cathepsin S,CTSS,P25774;P25774-2,7.70,11.2,4,,,,,3.71,0.000
Cathepsin Z,CTSZ,Q9UBR2,6.50,4.0,1,,,,,4.08,0.000
Cation-independent mannose-6-phosphate receptor,IGF2R,P11717,7.70,1.8,4,,,,,4.41,0.000
CD109 antigen,CD109,Q6YHK3;Q6YHK3-4;Q6YHK3-2;Q6YHK3-3,8.17,6.3,7,,,,,4.28,0.000
CD166 antigen,ALCAM,Q13740;Q13740-2;B4DTU0;F5GXJ9,7.66,3.6,2,,,,,4.56,0.000
CD44 antigen,CD44,P16070;H0YD13;E7EPC6;P16070-18;P16070-12;P16070-14;P16070-13;P16070-11;P16070-10;P16070-16;P16070-8;P16070-17;P16070-6;P16070-4;P16070-3;P16070-7;P16070-5;H0YDW7;H0YCV9;H0Y2P0;H0Y5E4;P16070-15;P16070-9,8.88,5.0,3,,,,,4.54,0.000
CD5 antigen-like,CD5L,O43866,8.79,11.8,5,,,,,6.75,0.000
CDGSH iron-sulfur domain-containing protein 1,CISD1,Q9NZ45,6.46,13.9,1,,,,,NaN,0.002
Cell adhesion molecule 1,CADM1,Q9BY67;H3BM05;Q9BY67-2;H0YGA7;F5H0J4;F5H125;H0YG94,6.96,1.8,1,,,,,4.51,0.000
Cell surface glycoprotein MUC18,MCAM,P43121;P43121-2,8.22,8.7,5,,,,,4.40,0.000
Centromere-associated protein E,CENPE,Q02224;F8W957;Q02224-3;Q02224-2;D6RBW0,7.01,0.4,1,,,,,NaN,0.000
Ceruloplasmin,CP,P00450;E9PFZ2;H7C5R1,11.20,62.3,54.99999,+,+,,,8.23,0.000
Chloride intracellular channel protein 1,CLIC1,O00299,7.49,12.0,3,,,,,4.34,0.000
Cholesteryl ester transfer protein,CETP,P11597;P11597-2;H3BRJ9,8.89,26.0,11,,,,,6.18,0.000
Cholinesterase,BCHE,P06276;F8WF14;F8WEX7,9.30,14.5,8,+,+,,,5.23,0.000
Chondroadherin,CHAD,O15335,7.56,7.2,2,,,,,NaN,0.000
Chondroitin sulfate proteoglycan 4,CSPG4,Q6UVK1,7.19,0.9,2,,,,,NaN,0.000
Chromodomain-helicase-DNA-binding protein 3;Chromodomain-helicase-DNA-binding protein 4;Chromodomain-helicase-DNA-binding protein 5,CHD3;CHD4;CHD5,Q12873;Q12873-2;E9PG89;Q14839;Q8TDI0;F5H2K7;F5GXP9;B1AK51;F2Z2R5;F5H2G1;F5GWX5;Q14839-2,7.61,1.0,2,,,,,NaN,0.000
Chromogranin-A;Vasostatin-1;Vasostatin-2;EA-92;ES-43;Pancreastatin;SS-18;WA-8;WE-14;LF-19;AL-11;GV-19;GR-44;ER-37,CHGA,P10645;G5E968,7.09,4.6,2,,,,,4.92,0.000
"Citrate synthase, mitochondrial;Citrate synthase",CS,O75390;B4DJV2;H0YIC4,7.54,4.9,2,,,,,NaN,0.000
Clusterin;Clusterin beta chain;Clusterin alpha chain;Clusterin,CLU,P10909;P10909-4;P10909-5;P10909-2;E7ETA7;P10909-3;H0YC35;H0YLK8,10.80,41.6,20,,,,,7.95,0.000
Coagulation factor IX;Coagulation factor IXa light chain;Coagulation factor IXa heavy chain,F9,P00740,8.93,15.4,7,+,+,,,6.04,0.000
Coagulation factor V;Coagulation factor V heavy chain;Coagulation factor V light chain,F5,P12259,10.12,24.7,48,,,,,6.62,0.000
Coagulation factor VII;Factor VII light chain;Factor VII heavy chain,F7,P08709;F5H8B0;P08709-2,8.86,7.1,2,,,,,5.47,0.000
"Coagulation factor VIII;Factor VIIIa heavy chain, 200 kDa isoform;Factor VIIIa heavy chain, 92 kDa isoform;Factor VIII B chain;Factor VIIIa light chain",F8,P00451,8.75,1.7,3,,,,,2.92,0.000
Coagulation factor X;Factor X light chain;Factor X heavy chain;Activated factor Xa heavy chain,F10,P00742,9.09,17.2,8,+,+,,,5.70,0.000
Coagulation factor XI;Coagulation factor XIa heavy chain;Coagulation factor XIa light chain,F11,P03951;E9PGP2;P03951-2,9.17,17.1,11,,,,,4.80,0.000
Coagulation factor XII;Coagulation factor XIIa heavy chain;Beta-factor XIIa part 1;Beta-factor XIIa part 2;Coagulation factor XIIa light chain,F12,P00748,9.80,10.4,6,,,,,6.98,0.000
Coagulation factor XIII A chain,F13A1,P00488;F5H080,9.64,28.8,20,+,+,,,7.26,0.000
Coagulation factor XIII B chain,F13B,P05160,9.13,19.4,11,+,+,,,7.16,0.000
Coatomer subunit beta,COPB1,P53618,7.11,1.4,1,,,,,NaN,0.005
Cofilin-1,CFL1,P23528;G3V1A4;E9PP50;E9PK25;E9PQB7;E9PLJ3;E9PS23,8.18,36.7,6,,,,,5.15,0.000
Coiled-coil domain-containing protein 122,CCDC122,Q5T0U0;B7ZMJ0;Q5T0U0-2,7.70,5.1,1,,,,,NaN,0.008
Collagen alpha-1(I) chain,COL1A1,P02452,6.98,0.7,1,,,,,5.59,0.000
Collagen alpha-1(VI) chain,COL6A1,P12109,7.17,2.1,2,,,,,4.41,0.000
Collagen alpha-1(XII) chain,COL12A1,Q99715;D6RGG3;Q99715-4,7.76,0.4,1,,,,,NaN,0.000
Collagen alpha-1(XV) chain;Restin;Restin-2;Restin-3;Restin-4,COL15A1,P39059,NaN,0.5,1,,,,,3.94,0.000
Collagen alpha-1(XVIII) chain;Endostatin,COL18A1,P39060;F8WDA7;F5GZA2;P39060-2;P39060-1;H7BXV5;H7C457,8.03,2.0,3,,,,,4.54,0.000
Collagen alpha-2(VI) chain,COL6A2,P12110;P12110-3;P12110-2,6.92,1.8,2,,,,,NaN,0.000
Collagen alpha-3(VI) chain,COL6A3,P12111;E9PCV6;E7ENL6;P12111-2;E9PFQ6;E9PGQ9;P12111-3,8.14,4.4,12,,,,,5.00,0.000
Collectin-10,COLEC10,Q9Y6Z7,8.22,8.7,2,,,,,3.67,0.000
Collectin-11,COLEC11,Q9BWP8;Q9BWP8-9;Q9BWP8-8;Q9BWP8-7;Q9BWP8-6;Q9BWP8-5;Q9BWP8-4;Q9BWP8-3;Q9BWP8-2,8.57,21.8,4,,,,,NaN,0.000
Complement C1q subcomponent subunit A,C1QA,P02745,9.36,18.0,5,+,+,,,6.08,0.000
Complement C1q subcomponent subunit B,C1QB,P02746;D6R934;D6RA08,9.75,28.5,6,+,+,,,5.97,0.000
Complement C1q subcomponent subunit C,C1QC,P02747,9.61,21.2,4,+,+,,,5.96,0.000
Complement C1q tumor necrosis factor-related protein 5,C1QTNF5,Q9BXJ0,NaN,6.2,1,,,,,NaN,0.003
Complement C1r subcomponent;Complement C1r subcomponent heavy chain;Complement C1r subcomponent light chain,C1R,P00736,10.16,26.1,18,+,+,,,6.63,0.000
Complement C1r subcomponent-like protein,C1RL,Q9NZP8;E7ER29;H0YFL7,9.42,13.1,7,,,,,5.41,0.000
Complement C1s subcomponent;Complement C1s subcomponent heavy chain;Complement C1s subcomponent light chain,C1S,P09871;F8WCZ6,7.95,29.8,18,+,+,,,6.72,0.002
Complement C2;Complement C2b fragment;Complement C2a fragment,C2,P06681;E9PFN7;B4DQI1;P06681-2;Q5ST57;H0Y3H6;E9PDZ0;B3KTX9;A2ABK0,9.42,35.9,24,,,,,7.54,0.000
Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2,C3,P01024;B4E216,11.81,76.5,124,+,+,,,9.05,0.000
Complement C4-A;Complement C4 beta chain;Complement C4-A alpha chain;C4a anaphylatoxin;C4b-A;C4d-A;Complement C4 gamma chain,C4A,B0V2C8;B0UZ83;F8VZD8;F8VW91,10.02,55.8,85,,,,,8.23,0.000
Complement C4-B;Complement C4 beta chain;Complement C4-B alpha chain;C4a anaphylatoxin;C4b-B;C4d-B;Complement C4 gamma chain,C4B,A2BHY4;F8VX64;Q6U2E9;F5GXS0,11.48,56.9,85,,,,,7.99,0.000
Complement C4-B;Complement C4 beta chain;Complement C4-B alpha chain;C4a anaphylatoxin;C4b-B;C4d-B;Complement C4 gamma chain;Complement C4-A;Complement C4 beta chain;Complement C4-A alpha chain;C4a anaphylatoxin;C4b-A;C4d-A;Complement C4 gamma chain,C4B;C4A,P0C0L5;P0C0L4,6.62,56.1,85,+,+,,,8.13,0.000
Complement C5;Complement C5 beta chain;Complement C5 alpha chain;C5a anaphylatoxin;Complement C5 alpha chain,C5,P01031;H0Y4U2,10.64,41.9,59,+,+,,,NaN,0.000
Complement component C6,C6,P13671,10.22,22.7,18,,,,,6.57,0.000
Complement component C7,C7,P10643;E7EPA5,10.12,19.5,15,,,,,6.41,0.000
Complement component C8 alpha chain,C8A,P07357,9.65,22.9,10,,,,,6.38,0.000
Complement component C8 beta chain,C8B,P07358;F5GY80;F5H7G1,9.83,28.6,15,,,,,6.45,0.000
Complement component C8 gamma chain,C8G,P07360;Q5SQ08,9.34,47.0,7,,,,,6.04,0.000
Complement component C9;Complement component C9a;Complement component C9b,C9,P02748,10.23,30.9,18,,,,,6.98,0.000
Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment,CFB,B4E1Z4;E7EVA3;P00751,10.81,41.5,49,+,+,,,6.10,0.000
Complement factor D,CFD,P00746,9.19,37.2,7,,,,,6.40,0.000
Complement factor H,CFH,P08603;P08603-2,10.46,32.0,35,,,,,7.62,0.000
Complement factor H-related protein 1,CFHR1,B1AKG0;Q03591,9.39,24.7,6,,,,,7.76,0.000
Complement factor H-related protein 2,CFHR2,P36980-2;P36980,7.31,25.5,6,,,,,7.76,0.000
Complement factor H-related protein 3,CFHR3,Q02985;Q02985-2;F5H414;Q6NSD3,7.75,10.6,4,,,,,5.15,0.000
Complement factor H-related protein 5,CFHR5,Q9BXR6,8.21,6.3,4,,,,,4.04,0.000
Complement factor I;Complement factor I heavy chain;Complement factor I light chain,CFI,P05156;G3XAM2;E7ETH0,10.10,27.6,16,,,,,3.76,0.000
Complement receptor type 1,CR1,P17927;E9PQN4;Q5SR44;E9PDY4;H7BYX0;H0YE06,6.85,0.4,1,,,,,NaN,0.000
Complement receptor type 2,CR2,P20023;Q5SR47;C9J0D9;P20023-2;P20023-4;P20023-3,7.10,1.1,1,,,,,3.30,0.000
Contactin-1,CNTN1,Q12860;Q12860-2,8.68,12.7,11,,,,,4.15,0.000
Contactin-3,CNTN3,Q9P232,7.15,1.8,2,,,,,NaN,0.000
Contactin-4,CNTN4,Q8IWV2;Q8IWV2-3;G3XAD4;B2RAX3,7.88,2.2,2,,,,,NaN,0.000
COP9 signalosome complex subunit 5,COPS5,Q92905,6.55,4.5,1,,,,,NaN,0.005
Corticosteroid-binding globulin,SERPINA6,P08185,10.24,29.9,10,,,,,6.08,0.000
Corticotropin-releasing factor-binding protein,CRHBP,P24387;D6RHH7,7.08,7.5,2,,,,,NaN,0.000
C-reactive protein;C-reactive protein(1-205),CRP,P02741;Q5VVP7;P02741-2,7.80,18.8,4,+,+,,,6.33,0.000
Creatine kinase B-type,CKB,P12277;G3V4N7;E7EUJ8,6.75,5.0,1,+,,+,,4.81,0.002
"Creatine kinase M-type;Creatine kinase M-type, N-terminally processed",CKM,P06732,7.54,8.9,4,+,,+,,4.93,0.000
C-type lectin domain family 11 member A,CLEC11A,Q9Y240;C9JXV2,7.04,7.7,2,,,,,NaN,0.000
Cyclic AMP-dependent transcription factor ATF-6 alpha;Processed cyclic AMP-dependent transcription factor ATF-6 alpha,ATF6,P18850,7.09,1.8,1,,,,,NaN,0.000
Cyclic nucleotide-gated cation channel alpha-3,CNGA3,Q16281;E9PF93;Q16281-2,7.71,2.4,1,,,,,NaN,0.002
Cyclin-dependent kinase 11B;Cyclin-dependent kinase 11A;Protein-tyrosine kinase 6,CDK11B;CDK11A;PTK6,P21127;Q9UQ88;P21127-12;P21127-9;Q5QPR4;Q5QPR3;Q9UQ88-5;Q9UQ88-10;P21127-4;P21127-5;P21127-10;P21127-6;Q9UQ88-4;P21127-8;Q9UQ88-3;Q9UQ88-2;P21127-3;P21127-2;Q13882;Q9UQ88-9,6.87,1.3,1,,,,,NaN,0.007
"Cystatin-A;Cystatin-A, N-terminally processed",CSTA,P01040;C9J0E4,7.70,39.8,3,,,,,4.20,0.000
Cystatin-B,CSTB,P04080,6.70,36.7,2,,,,,4.89,0.000
Cystatin-C,CST3,P01034,8.58,24.7,3,+,+,,,6.68,0.000
Cysteine and glycine-rich protein 1,CSRP1,E9PS42;P21291;E9PND2;E9PP21,7.45,15.7,2,,,,,3.88,0.001
Cysteine-rich secretory protein 3,CRISP3,P54108;I3L0A1;P54108-2;P54108-3,7.27,6.5,1,,,,,0.80,0.000
"Cytochrome b-c1 complex subunit 2, mitochondrial",UQCRC2,P22695;H3BRG4,6.35,3.5,1,,,,,NaN,0.000
Cytochrome c,CYCS,P99999;C9JFR7;CON__P62894,7.13,23.8,2,,,,,3.90,0.000
Cytochrome c oxidase subunit 2,MT-CO2,P00403,7.42,4.4,1,,,,,NaN,0.008
Cytoplasmic dynein 1 heavy chain 1,DYNC1H1,Q14204,NaN,0.5,2,,,,,NaN,0.000
D-3-phosphoglycerate dehydrogenase,PHGDH,O43175;F5H634;Q5SZU1,NaN,1.7,1,,,,,NaN,0.000
Decorin,DCN,P07585;H0YIH3;F8VNV6;P07585-3;P07585-2,6.62,2.5,1,,,,,NaN,0.001
"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",ECH1,Q13011,NaN,5.2,1,,,,,NaN,0.008
"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",ALDH4A1,P30038;P30038-2;D2D4A3,8.17,1.6,1,,,,,NaN,0.000
Dermcidin;Survival-promoting peptide;DCD-1,DCD,P81605;P81605-2,8.73,30.9,3,,,,,5.11,0.000
Dermokine,DMKN,Q6E0U4-2;E7EUS0;Q6E0U4-6;C9J4P6;Q6E0U4-5;Q6E0U4;H7C145;H7BZ95;C9IYI1;CON__A3EZ82;Q6E0U4-7;Q6E0U4-3;Q6E0U4-4,7.42,5.8,2,,,,,4.30,0.000
Desmocollin-1,DSC1,Q08554-2;Q08554,8.16,4.3,3,,,,,4.72,0.000
Desmocollin-2,DSC2,Q02487-2;Q02487;F8W7U2,6.35,2.5,2,,,,,3.43,0.000
Desmocollin-3,DSC3,Q14574-2;Q14574,NaN,0.8,1,,,,,4.43,0.001
Desmoglein-1,DSG1,Q02413,7.13,3.5,3,,,,,4.15,0.000
Desmoglein-2,DSG2,Q14126,8.23,4.8,4,,,,,3.43,0.000
Desmoplakin,DSP,P15924;P15924-2,8.20,7.0,21,,,,,4.30,0.000
Destrin,DSTN,P60981;F6RFD5;P60981-2,NaN,4.2,1,,,,,3.18,0.000
Dickkopf-related protein 3,DKK3,Q9UBP4;E7EUD0;F6SYF8;E9PKK9;E9PHY3;E9PKW6,7.22,9.4,2,,,,,4.18,0.000
"Dihydrolipoyl dehydrogenase, mitochondrial",DLD,P09622;F5H4I0;E9PEX6;B4DHG0;B4DT69,6.69,2.2,1,,,,,3.59,0.000
"Dimethylglycine dehydrogenase, mitochondrial",DMGDH,Q9UI17,8.06,2.1,1,,,,,3.20,0.000
Di-N-acetylchitobiase,CTBS,Q01459,8.65,22.6,7,,,,,5.56,0.000
Dipeptidyl peptidase 1;Dipeptidyl peptidase 1 exclusion domain chain;Dipeptidyl peptidase 1 heavy chain;Dipeptidyl peptidase 1 light chain,CTSC,P53634;F5HGG6;H0YCY8,NaN,4.8,2,,,,,6.89,0.000
Dipeptidyl peptidase 4;Dipeptidyl peptidase 4 membrane form;Dipeptidyl peptidase 4 soluble form,DPP4,P27487,8.06,11.1,8,,,,,3.78,0.000
Disabled homolog 2,DAB2,P98082;P98082-2;P98082-3,6.51,1.6,1,,,,,NaN,0.001
"Discoidin, CUB and LCCL domain-containing protein 1",DCBLD1,Q8N8Z6;Q8N8Z6-2;Q5H993,6.72,1.4,1,,,,,NaN,0.000
DNA-dependent protein kinase catalytic subunit,PRKDC,P78527;E7EUY0;P78527-2,5.87,0.7,2,,,,,NaN,0.000
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,RPN1,P04843;B4DNJ5;B7Z4L4;F5H6I5,6.87,4.8,2,,,,,NaN,0.000
Dopamine beta-hydroxylase;Soluble dopamine beta-hydroxylase,DBH,P09172,8.75,16.2,8,,,,,5.04,0.000
"Dynein light chain 2, cytoplasmic;Dynein light chain 1, cytoplasmic",DYNLL2;DYNLL1,Q96FJ2;P63167,NaN,13.5,1,,,,,NaN,0.003
Dystroglycan;Alpha-dystroglycan;Beta-dystroglycan,DAG1,Q14118;E9PE70,7.46,1.7,1,,,,,4.53,0.000
Ecto-ADP-ribosyltransferase 3,ART3,Q13508;E7ESB3;Q13508-2;Q13508-3;E7ER42,6.71,3.6,1,,,,,4.48,0.000
Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,ENPP2,Q13822;Q13822-3;E7EUF1;E9PHP7;Q13822-2;E5RIA2,6.89,2.1,2,,,,,4.59,0.000
"EGF, latrophilin and seven transmembrane domain-containing protein 1",ELTD1,Q9HBW9,6.63,3.2,2,,,,,3.45,0.000
EGF-containing fibulin-like extracellular matrix protein 1,EFEMP1,Q12805;B4DW75;Q12805-2;Q12805-4;Q12805-3;E9PGL6,8.25,11.4,5,,,,,5.41,0.000
Electron transfer flavoprotein subunit beta,ETFB,P38117;P38117-2,6.77,10.6,2,,,,,NaN,0.000
Elongation factor 1-alpha 1;Putative elongation factor 1-alpha-like 3;Elongation factor 1-alpha 2,EEF1A1;EEF1A1P5;EEF1A2,P68104;Q5VTE0;Q6IQ15;F8W6I0;Q05639,8.98,34.8,13,,,,,4.79,0.000
Elongation factor 1-delta,EEF1D,P29692;P29692-2;E9PK01;E9PRY8;P29692-3;E9PMW7;E9PPR1;E9PL12;E9PQ49;E9PI39;F8W934;E9PN91;E9PIZ1;E9PL71;H0YCK7;E9PQZ1;E9PBQ9,7.66,16.0,3,,,,,NaN,0.000
Elongation factor 1-gamma,EEF1G,P26641;B4DTG2;B4DUP0,8.36,8.5,3,,,,,NaN,0.000
Elongation factor 2,EEF2,P13639;B4DPU3;F5H370,8.47,14.7,12,,,,,4.48,0.000
Elongation factor Tu GTP-binding domain-containing protein 1,EFTUD1,Q7Z2Z2;Q7Z2Z2-2,6.22,0.9,1,,,,,NaN,0.003
Endoglin,ENG,P17813;P17813-2;F5GX88,8.04,5.3,3,,,,,3.84,0.000
Endoplasmic reticulum aminopeptidase 1,ERAP1,Q9NZ08;Q9NZ08-2,7.42,1.0,1,,,,,3.71,0.000
Endoplasmic reticulum aminopeptidase 2,ERAP2,Q6P179;Q6P179-3;H0Y9X9;D6RGW0;Q6P179-4;Q6P179-2,7.28,1.8,1,,,,,2.99,0.000
Endoplasmic reticulum resident protein 29,ERP29,P30040;F8VY02,7.24,9.6,2,,,,,3.78,0.008
Endoplasmin,HSP90B1,P14625;E9PEX3,8.67,23.4,16,,,,,4.94,0.000
Endosialin,CD248,Q9HCU0,6.94,1.3,1,,,,,NaN,0.000
Endothelial cell-selective adhesion molecule,ESAM,Q96AP7;F8WDW9;C9JIE7,6.19,3.6,1,,,,,3.66,0.001
Endothelial protein C receptor,PROCR,Q9UNN8,7.59,9.2,2,,,,,5.05,0.000
Enhancer of rudimentary homolog,ERH,P84090;G3V279,NaN,10.6,1,,,,,NaN,0.000
"Enoyl-CoA delta isomerase 1, mitochondrial",ECI1;DCI,P42126;H3BP91;P42126-2;H3BS70;Q96DC0,6.96,3.3,1,,,,,3.64,0.000
Epidermal growth factor receptor,EGFR,P00533;P00533-4;P00533-3;Q504U8;E9PFD7;P00533-2,7.27,2.0,2,,,,,4.06,0.000
Epididymal secretory protein E1,NPC2,P61916;H0YIZ1;G3V3E8;E7EMS2;G3V3D1;G3V2V8;B4DQV7,6.38,11.9,2,,,,,5.36,0.000
Epiplakin,EPPK1,P58107;E9PPU0,NaN,1.2,1,,,,,3.45,0.000
ER membrane protein complex subunit 2,EMC2,Q15006,7.03,4.4,1,,,,,NaN,0.002
ER membrane protein complex subunit 3,EMC3,Q9P0I2;Q9P0I2-2,7.33,5.4,1,,,,,NaN,0.000
Eukaryotic initiation factor 4A-I,EIF4A1,P60842,7.37,17.5,5,,,,,3.60,0.000
"Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed",EIF4A3,P38919;I3L2Z3;I3L3H2;I3L3F6,NaN,2.9,1,,,,,NaN,0.000
Eukaryotic peptide chain release factor GTP-binding subunit ERF3B;Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,GSPT2;GSPT1,Q8IYD1;P15170;P15170-2;H3BR35;F5GWG9,5.77,1.6,1,,,,,NaN,0.000
Eukaryotic translation initiation factor 1;Eukaryotic translation initiation factor 1b,EIF1;EIF1B,P41567;O60739,7.41,14.2,1,,,,,NaN,0.001
Eukaryotic translation initiation factor 3 subunit E,EIF3E,P60228;H0YBR5;E5RIP5;E5RJ25;H0YBP5;E5RII3;E5RIT4;E5RHS5,7.34,4.7,2,,,,,NaN,0.002
Eukaryotic translation initiation factor 3 subunit G,EIF3G,O75821,7.21,2.8,1,,,,,NaN,0.002
Eukaryotic translation initiation factor 4 gamma 1,EIF4G1,Q04637;Q04637-3;C9J6B6;C9JF13;E7EX73;E9PGM1;E7EUU4;Q04637-5;Q04637-4;E9PFM1;F8WCF2;C9JHW9;C9J2Z7;C9K073;Q04637-6;G5E9S1,5.86,1.4,2,,,,,NaN,0.001
Eukaryotic translation initiation factor 4H,EIF4H,Q15056;Q15056-2,7.34,9.3,1,,,,,NaN,0.000
Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A-2;Eukaryotic translation initiation factor 5A-1-like,EIF5A;EIF5A2;EIF5AL1,P63241;I3L397;I3L504;P63241-2;Q9GZV4;F8WCJ1;C9J7B5;C9J4W5;Q6IS14,8.23,32.5,5,,,,,4.59,0.000
Eukaryotic translation initiation factor 5B,EIF5B,O60841,6.33,0.9,1,,,,,NaN,0.008
Exostosin-1,EXT1,Q16394,6.94,2.4,2,,,,,NaN,0.000
Exostosin-like 2;Processed exostosin-like 2,EXTL2,Q9UBQ6;F5GZK1;C9JEG3,7.40,8.2,3,,,,,NaN,0.000
Exportin-2,CSE1L,P55060;E7EPX1;B4DUC5;F8W904;P55060-3,6.94,3.5,3,,,,,NaN,0.000
Extracellular matrix protein 1,ECM1,Q16610;Q16610-4,9.12,19.6,10,,,,,5.89,0.000
Extracellular serine/threonine protein kinase FAM20C,FAM20C,Q8IXL6,6.97,3.1,1,,,,,NaN,0.000
Extracellular superoxide dismutase [Cu-Zn],SOD3,P08294,8.37,8.8,2,,,,,5.07,0.000
Ezrin,EZR,P15311;E7EQR4,6.39,8.0,5,,,,,4.67,0.002
F-actin-capping protein subunit alpha-1,CAPZA1,P52907,NaN,3.5,1,,,,,3.66,0.001
F-actin-capping protein subunit alpha-2,CAPZA2,P47755;C9JUG7;F8W9N7;B4DG50,6.94,3.5,1,,,,,NaN,0.000
Far upstream element-binding protein 2,KHSRP,Q92945;Q92945-2,6.70,1.4,1,,,,,NaN,0.001
Farnesyl pyrophosphate synthase,FDPS,P14324;E9PCI9,6.72,4.3,1,,,,,3.28,0.002
Fascin,FSCN1,Q16658,7.49,3.9,2,,,,,3.26,0.000
Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase,FASN,P49327,7.51,2.6,6,,,,,3.68,0.000
"Fatty acid-binding protein, adipocyte;Myelin P2 protein",FABP4;PMP2,P15090;P02689;E5RIR0;E5RH45,6.63,6.8,1,,,,,4.62,0.003
"Fatty acid-binding protein, epidermal",FABP5,Q01469,7.01,6.7,1,,,,,4.60,0.000
Fc receptor-like protein 5,FCRL5,Q96RD9;A6NJE8;Q96RD9-3;F5GXJ2;Q96RD9-4;Q96RD9-5,7.23,1.9,2,,,,,NaN,0.000
Fermitin family homolog 3,FERMT3,Q86UX7;Q86UX7-2;F5H1C6,8.18,3.3,2,,,,,4.51,0.000
Ferritin light chain,FTL,P02792;F5H1X1,7.44,17.1,2,+,+,,,4.08,0.000
Fetuin-B,FETUB,Q9UGM5;E9PG06;E9PG08;B7Z8T3,8.71,8.1,3,,,,,5.43,0.000
Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,FGA,P02671,11.57,52.3,51,+,+,,,9.01,0.000
