Majority Protein IDs,Abundance Rank,Sample,Protein Names,LFQ Intensity [log10],Overlap,Abundance Level,Leading razor protein
Q9NP80,206.0,,Calcium-independent phospholipase A2-gamma,8.88,Geyer Only,Low,
C9JN30,206.0,,Calcium-independent phospholipase A2-gamma,8.88,Geyer Only,Low,
C9JZI4,206.0,,Calcium-independent phospholipase A2-gamma,8.88,Geyer Only,Low,
Q9NP80-2,206.0,,Calcium-independent phospholipase A2-gamma,8.88,Geyer Only,Low,
Q9Y6R7,207.0,,IgGFc-binding protein,8.87,Geyer Only,Low,
P02786,208.0,,"Transferrin receptor protein 1;Transferrin receptor protein 1, serum form",8.87,Geyer Only,Low,
G3V0E5,208.0,,"Transferrin receptor protein 1;Transferrin receptor protein 1, serum form",8.87,Geyer Only,Low,
F5H6B1,208.0,,"Transferrin receptor protein 1;Transferrin receptor protein 1, serum form",8.87,Geyer Only,Low,
P19320,209.0,,Vascular cell adhesion protein 1,8.87,Geyer Only,Low,
E9PDD1,209.0,,Vascular cell adhesion protein 1,8.87,Geyer Only,Low,
P19320-2,209.0,,Vascular cell adhesion protein 1,8.87,Geyer Only,Low,
E9PDD2,209.0,,Vascular cell adhesion protein 1,8.87,Geyer Only,Low,
P55056,210.0,,Apolipoprotein C-IV,8.86,Geyer Only,Low,
P10809,211.0,,"60 kDa heat shock protein, mitochondrial",8.86,Geyer Only,Low,
P08709,212.0,,Coagulation factor VII;Factor VII light chain;Factor VII heavy chain,8.86,Geyer Only,Low,
F5H8B0,212.0,,Coagulation factor VII;Factor VII light chain;Factor VII heavy chain,8.86,Geyer Only,Low,
P08709-2,212.0,,Coagulation factor VII;Factor VII light chain;Factor VII heavy chain,8.86,Geyer Only,Low,
P01764,213.0,,Ig heavy chain V-III region VH26,8.85,Geyer Only,Low,
P15144,214.0,,Aminopeptidase N,8.85,Geyer Only,Low,
B4DP96,214.0,,Aminopeptidase N,8.85,Geyer Only,Low,
P07195,215.0,,L-lactate dehydrogenase B chain;L-lactate dehydrogenase,8.83,Geyer Only,Low,
A8MW50,215.0,,L-lactate dehydrogenase B chain;L-lactate dehydrogenase,8.83,Geyer Only,Low,
H0YLF3,216.0,,,8.83,Geyer Only,Low,
P15814,217.0,,Immunoglobulin lambda-like polypeptide 1,8.82,Geyer Only,Low,
P22105,218.0,,Tenascin-X,8.82,Geyer Only,Low,
G5E9A9,218.0,,Tenascin-X,8.82,Geyer Only,Low,
B0V046,218.0,,Tenascin-X,8.82,Geyer Only,Low,
B0UYX3,218.0,,Tenascin-X,8.82,Geyer Only,Low,
E7EWZ8,218.0,,Tenascin-X,8.82,Geyer Only,Low,
E7EU03,218.0,,Tenascin-X,8.82,Geyer Only,Low,
E7EPQ1,218.0,,Tenascin-X,8.82,Geyer Only,Low,
E7EPZ9,218.0,,Tenascin-X,8.82,Geyer Only,Low,
P22105-3,218.0,,Tenascin-X,8.82,Geyer Only,Low,
H0Y3W5,218.0,,Tenascin-X,8.82,Geyer Only,Low,
H0Y6M7,218.0,,Tenascin-X,8.82,Geyer Only,Low,
P01605,219.0,,Ig kappa chain V-I region Lay,8.81,Geyer Only,Low,
P01814,220.0,,Ig heavy chain V-II region OU;Ig heavy chain V-II region SESS,8.8,Geyer Only,Low,
P04438,220.0,,Ig heavy chain V-II region OU;Ig heavy chain V-II region SESS,8.8,Geyer Only,Low,
O00533-2,221.0,,Neural cell adhesion molecule L1-like protein;Processed neural cell adhesion molecule L1-like protein,8.8,Geyer Only,Low,
O00533,221.0,,Neural cell adhesion molecule L1-like protein;Processed neural cell adhesion molecule L1-like protein,8.8,Geyer Only,Low,
O43866,222.0,,CD5 antigen-like,8.79,Geyer Only,Low,
P01824,223.0,,Ig heavy chain V-II region WAH,8.79,Geyer Only,Low,
P0CG47,224.0,,Polyubiquitin-B;Ubiquitin;Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-C;Ubiquitin,8.78,Geyer Only,Low,
P62979,224.0,,Polyubiquitin-B;Ubiquitin;Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-C;Ubiquitin,8.78,Geyer Only,Low,
P62987,224.0,,Polyubiquitin-B;Ubiquitin;Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-C;Ubiquitin,8.78,Geyer Only,Low,
F5H6Q2,224.0,,Polyubiquitin-B;Ubiquitin;Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-C;Ubiquitin,8.78,Geyer Only,Low,
F5GYU3,224.0,,Polyubiquitin-B;Ubiquitin;Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-C;Ubiquitin,8.78,Geyer Only,Low,
F5H2Z3,224.0,,Polyubiquitin-B;Ubiquitin;Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-C;Ubiquitin,8.78,Geyer Only,Low,
F5H265,224.0,,Polyubiquitin-B;Ubiquitin;Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-C;Ubiquitin,8.78,Geyer Only,Low,
F5H7Y5,224.0,,Polyubiquitin-B;Ubiquitin;Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-C;Ubiquitin,8.78,Geyer Only,Low,
B4DV12,224.0,,Polyubiquitin-B;Ubiquitin;Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-C;Ubiquitin,8.78,Geyer Only,Low,
F5H388,224.0,,Polyubiquitin-B;Ubiquitin;Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-C;Ubiquitin,8.78,Geyer Only,Low,
F5H747,224.0,,Polyubiquitin-B;Ubiquitin;Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-C;Ubiquitin,8.78,Geyer Only,Low,
F5GXK7,224.0,,Polyubiquitin-B;Ubiquitin;Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-C;Ubiquitin,8.78,Geyer Only,Low,
Q96C32,224.0,,Polyubiquitin-B;Ubiquitin;Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-C;Ubiquitin,8.78,Geyer Only,Low,
F5H7K6,224.0,,Polyubiquitin-B;Ubiquitin;Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-C;Ubiquitin,8.78,Geyer Only,Low,
F5H041,224.0,,Polyubiquitin-B;Ubiquitin;Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-C;Ubiquitin,8.78,Geyer Only,Low,
P0CG48,224.0,,Polyubiquitin-B;Ubiquitin;Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-C;Ubiquitin,8.78,Geyer Only,Low,
F5H4D8,224.0,,Polyubiquitin-B;Ubiquitin;Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-C;Ubiquitin,8.78,Geyer Only,Low,
P01708,225.0,,Ig lambda chain V-II region BUR,8.78,Geyer Only,Low,
P20851,226.0,,C4b-binding protein beta chain,8.78,Geyer Only,Low,
P20851-2,226.0,,C4b-binding protein beta chain,8.78,Geyer Only,Low,
P41222,227.0,,Prostaglandin-H2 D-isomerase,8.77,Geyer Only,Low,
H0Y5A1,227.0,,Prostaglandin-H2 D-isomerase,8.77,Geyer Only,Low,
F8W7I2,227.0,,Prostaglandin-H2 D-isomerase,8.77,Geyer Only,Low,
Q5SQ11,227.0,,Prostaglandin-H2 D-isomerase,8.77,Geyer Only,Low,
Q9UHG3,228.0,,Prenylcysteine oxidase 1,8.77,Geyer Only,Low,
B7Z3Y2,228.0,,Prenylcysteine oxidase 1,8.77,Geyer Only,Low,
B7Z9P8,228.0,,Prenylcysteine oxidase 1,8.77,Geyer Only,Low,
F8W8W4,228.0,,Prenylcysteine oxidase 1,8.77,Geyer Only,Low,
P09172,229.0,,Dopamine beta-hydroxylase;Soluble dopamine beta-hydroxylase,8.75,Geyer Only,Low,
P00451,230.0,,"Coagulation factor VIII;Factor VIIIa heavy chain, 200 kDa isoform;Factor VIIIa heavy chain, 92 kDa isoform;Factor VIII B chain;Factor VIIIa light chain",8.75,Geyer Only,Low,
P01833,231.0,,Polymeric immunoglobulin receptor;Secretory component,8.75,Geyer Only,Low,
P01619,232.0,,Ig kappa chain V-III region B6,8.74,Geyer Only,Low,
P81605,233.0,,Dermcidin;Survival-promoting peptide;DCD-1,8.73,Geyer Only,Low,
P81605-2,233.0,,Dermcidin;Survival-promoting peptide;DCD-1,8.73,Geyer Only,Low,
O00187,234.0,,Mannan-binding lectin serine protease 2;Mannan-binding lectin serine protease 2 A chain;Mannan-binding lectin serine protease 2 B chain,8.73,Geyer Only,Low,
O00187-2,234.0,,Mannan-binding lectin serine protease 2;Mannan-binding lectin serine protease 2 A chain;Mannan-binding lectin serine protease 2 B chain,8.73,Geyer Only,Low,
Q9HDC9,235.0,,Adipocyte plasma membrane-associated protein,8.73,Geyer Only,Low,
H0Y512,235.0,,Adipocyte plasma membrane-associated protein,8.73,Geyer Only,Low,
Q9HDC9-2,235.0,,Adipocyte plasma membrane-associated protein,8.73,Geyer Only,Low,
Q92835,236.0,,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",8.72,Geyer Only,Low,
C9JLW2,236.0,,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",8.72,Geyer Only,Low,
C9JF09,236.0,,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",8.72,Geyer Only,Low,
F5GXI6,236.0,,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",8.72,Geyer Only,Low,
Q92835-2,236.0,,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",8.72,Geyer Only,Low,
O75340,237.0,,Programmed cell death protein 6,8.72,Geyer Only,Low,
H0Y9X3,237.0,,Programmed cell death protein 6,8.72,Geyer Only,Low,
Q2YDC2,237.0,,Programmed cell death protein 6,8.72,Geyer Only,Low,
P04792,238.0,,Heat shock protein beta-1,8.72,Geyer Only,Low,
B4DL87,238.0,,Heat shock protein beta-1,8.72,Geyer Only,Low,
P06748,239.0,,Nucleophosmin,8.71,Geyer Only,Low,
P06748-2,239.0,,Nucleophosmin,8.71,Geyer Only,Low,
P06748-3,239.0,,Nucleophosmin,8.71,Geyer Only,Low,
Q9UGM5,240.0,,Fetuin-B,8.71,Geyer Only,Low,
E9PG06,240.0,,Fetuin-B,8.71,Geyer Only,Low,
E9PG08,240.0,,Fetuin-B,8.71,Geyer Only,Low,
B7Z8T3,240.0,,Fetuin-B,8.71,Geyer Only,Low,
Q06830,241.0,,Peroxiredoxin-1,8.71,Geyer Only,Mid,
P48740-4,242.0,,Mannan-binding lectin serine protease 1;Mannan-binding lectin serine protease 1 heavy chain;Mannan-binding lectin serine protease 1 light chain,8.71,Geyer Only,Mid,
P48740-2,242.0,,Mannan-binding lectin serine protease 1;Mannan-binding lectin serine protease 1 heavy chain;Mannan-binding lectin serine protease 1 light chain,8.71,Geyer Only,Mid,
F5H2J0,242.0,,Mannan-binding lectin serine protease 1;Mannan-binding lectin serine protease 1 heavy chain;Mannan-binding lectin serine protease 1 light chain,8.71,Geyer Only,Mid,
P01603,243.0,,Ig kappa chain V-I region Ka,8.7,Geyer Only,Mid,
Q6UXB8,244.0,,Peptidase inhibitor 16,8.7,Geyer Only,Mid,
Q6UXB8-2,244.0,,Peptidase inhibitor 16,8.7,Geyer Only,Mid,
P07900-2,245.0,,Heat shock protein HSP 90-alpha,8.69,Geyer Only,Mid,
Q86U12,245.0,,Heat shock protein HSP 90-alpha,8.69,Geyer Only,Mid,
P00915,246.0,,Carbonic anhydrase 1,8.69,Geyer Only,Mid,
E5RHP7,246.0,,Carbonic anhydrase 1,8.69,Geyer Only,Mid,
E5RH81,246.0,,Carbonic anhydrase 1,8.69,Geyer Only,Mid,
E5RIF9,246.0,,Carbonic anhydrase 1,8.69,Geyer Only,Mid,
E5RG43,246.0,,Carbonic anhydrase 1,8.69,Geyer Only,Mid,
E5RGU8,246.0,,Carbonic anhydrase 1,8.69,Geyer Only,Mid,
E5RFL2,246.0,,Carbonic anhydrase 1,8.69,Geyer Only,Mid,
E5RFE7,246.0,,Carbonic anhydrase 1,8.69,Geyer Only,Mid,
P31327,247.0,,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",8.69,Geyer Only,Mid,
H0YGP4,247.0,,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",8.69,Geyer Only,Mid,
P31327-2,247.0,,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",8.69,Geyer Only,Mid,
Q12860,248.0,,Contactin-1,8.68,Geyer Only,Mid,
Q12860-2,248.0,,Contactin-1,8.68,Geyer Only,Mid,
P04209,249.0,,Ig lambda chain V-II region NIG-84,8.68,Geyer Only,Mid,
P02775,250.0,,Platelet basic protein;Connective tissue-activating peptide III;TC-2;Connective tissue-activating peptide III(1-81);Beta-thromboglobulin;Neutrophil-activating peptide 2(74);Neutrophil-activating peptide 2(73);Neutrophil-activating peptide 2;TC-1;Neutrophil-activating peptide 2(1-66);Neutrophil-activating peptide 2(1-63),8.67,Geyer Only,Mid,
P14625,251.0,,Endoplasmin,8.67,Geyer Only,Mid,
E9PEX3,251.0,,Endoplasmin,8.67,Geyer Only,Mid,
P31944,252.0,,Caspase-14;Caspase-14 subunit p19;Caspase-14 subunit p10,8.67,Geyer Only,Mid,
Q01459,253.0,,Di-N-acetylchitobiase,8.65,Geyer Only,Mid,
Q15485,254.0,,Ficolin-2,8.64,Geyer Only,Mid,
Q15485-2,254.0,,Ficolin-2,8.64,Geyer Only,Mid,
P56199,255.0,,Integrin alpha-1,8.63,Geyer Only,Mid,
P00338,256.0,,L-lactate dehydrogenase A chain,8.63,Geyer Only,Mid,
P00338-3,256.0,,L-lactate dehydrogenase A chain,8.63,Geyer Only,Mid,
P00338-4,256.0,,L-lactate dehydrogenase A chain,8.63,Geyer Only,Mid,
F5H308,256.0,,L-lactate dehydrogenase A chain,8.63,Geyer Only,Mid,
E9PH51,256.0,,L-lactate dehydrogenase A chain,8.63,Geyer Only,Mid,
P00338-2,256.0,,L-lactate dehydrogenase A chain,8.63,Geyer Only,Mid,
P00338-5,256.0,,L-lactate dehydrogenase A chain,8.63,Geyer Only,Mid,
P01624,257.0,,Ig kappa chain V-III region POM,8.63,Geyer Only,Mid,
P13591-3,258.0,,Neural cell adhesion molecule 1,8.63,Geyer Only,Mid,
P13591-1,258.0,,Neural cell adhesion molecule 1,8.63,Geyer Only,Mid,
P13591-4,258.0,,Neural cell adhesion molecule 1,8.63,Geyer Only,Mid,
E9PLH7,258.0,,Neural cell adhesion molecule 1,8.63,Geyer Only,Mid,
P01701,259.0,,Ig lambda chain V-I region NEW,8.6,Geyer Only,Mid,
P32119,260.0,,Peroxiredoxin-2,8.6,Geyer Only,Mid,
E7EN39,261.0,,Multimerin-2,8.59,Geyer Only,Mid,
Q9H8L6,261.0,,Multimerin-2,8.59,Geyer Only,Mid,
P02774,262.0,,Vitamin D-binding protein,8.59,Geyer Only,Mid,
P02774-2,262.0,,Vitamin D-binding protein,8.59,Geyer Only,Mid,
P62753,263.0,,40S ribosomal protein S6,8.59,Geyer Only,Mid,
A2A3R7,263.0,,40S ribosomal protein S6,8.59,Geyer Only,Mid,
A2A3R5,263.0,,40S ribosomal protein S6,8.59,Geyer Only,Mid,
Q92820,264.0,,Gamma-glutamyl hydrolase,8.59,Geyer Only,Mid,
P01594,265.0,,Ig kappa chain V-I region AU,8.58,Geyer Only,Mid,
P01034,266.0,,Cystatin-C,8.58,Geyer Only,Mid,
Q9NPH3,267.0,,Interleukin-1 receptor accessory protein,8.57,Geyer Only,Mid,
Q9NPH3-2,267.0,,Interleukin-1 receptor accessory protein,8.57,Geyer Only,Mid,
Q9NPH3-5,267.0,,Interleukin-1 receptor accessory protein,8.57,Geyer Only,Mid,
Q9NPH3-3,267.0,,Interleukin-1 receptor accessory protein,8.57,Geyer Only,Mid,
C9J9W1,267.0,,Interleukin-1 receptor accessory protein,8.57,Geyer Only,Mid,
Q9BWP8,268.0,,Collectin-11,8.57,Geyer Only,Mid,
Q9BWP8-9,268.0,,Collectin-11,8.57,Geyer Only,Mid,
Q9BWP8-8,268.0,,Collectin-11,8.57,Geyer Only,Mid,
Q9BWP8-7,268.0,,Collectin-11,8.57,Geyer Only,Mid,
Q9BWP8-6,268.0,,Collectin-11,8.57,Geyer Only,Mid,
Q9BWP8-5,268.0,,Collectin-11,8.57,Geyer Only,Mid,
Q9BWP8-4,268.0,,Collectin-11,8.57,Geyer Only,Mid,
Q9BWP8-3,268.0,,Collectin-11,8.57,Geyer Only,Mid,
Q9BWP8-2,268.0,,Collectin-11,8.57,Geyer Only,Mid,
Q14515,269.0,,SPARC-like protein 1,8.56,Geyer Only,Mid,
B4E2Z0,269.0,,SPARC-like protein 1,8.56,Geyer Only,Mid,
P04075,270.0,,Fructose-bisphosphate aldolase A,8.55,Geyer Only,Mid,
H3BQN4,270.0,,Fructose-bisphosphate aldolase A,8.55,Geyer Only,Mid,
H3BUH7,270.0,,Fructose-bisphosphate aldolase A,8.55,Geyer Only,Mid,
H3BR04,270.0,,Fructose-bisphosphate aldolase A,8.55,Geyer Only,Mid,
H3BPS8,270.0,,Fructose-bisphosphate aldolase A,8.55,Geyer Only,Mid,
P61247,271.0,,40S ribosomal protein S3a,8.55,Geyer Only,Mid,
D6RG13,271.0,,40S ribosomal protein S3a,8.55,Geyer Only,Mid,
H0Y9Y4,271.0,,40S ribosomal protein S3a,8.55,Geyer Only,Mid,
D6RAT0,271.0,,40S ribosomal protein S3a,8.55,Geyer Only,Mid,
D6R9B6,271.0,,40S ribosomal protein S3a,8.55,Geyer Only,Mid,
D6RB09,271.0,,40S ribosomal protein S3a,8.55,Geyer Only,Mid,
F5H4F9,271.0,,40S ribosomal protein S3a,8.55,Geyer Only,Mid,
H0Y8L7,271.0,,40S ribosomal protein S3a,8.55,Geyer Only,Mid,
E9PFI5,271.0,,40S ribosomal protein S3a,8.55,Geyer Only,Mid,
P14618,272.0,,Pyruvate kinase PKM;Pyruvate kinase,8.55,Geyer Only,Mid,
E9PF79,272.0,,Pyruvate kinase PKM;Pyruvate kinase,8.55,Geyer Only,Mid,
P14618-3,272.0,,Pyruvate kinase PKM;Pyruvate kinase,8.55,Geyer Only,Mid,
H3BQ34,272.0,,Pyruvate kinase PKM;Pyruvate kinase,8.55,Geyer Only,Mid,
Q13790,273.0,,Apolipoprotein F,8.54,Geyer Only,Mid,
F5GXS5,273.0,,Apolipoprotein F,8.54,Geyer Only,Mid,
P05362,274.0,,Intercellular adhesion molecule 1,8.54,Geyer Only,Mid,
P17936,275.0,,Insulin-like growth factor-binding protein 3,8.54,Geyer Only,Mid,
H0Y5K2,275.0,,Insulin-like growth factor-binding protein 3,8.54,Geyer Only,Mid,
B3KTS0,275.0,,Insulin-like growth factor-binding protein 3,8.54,Geyer Only,Mid,
B3KWK7,275.0,,Insulin-like growth factor-binding protein 3,8.54,Geyer Only,Mid,
F5H4S6,275.0,,Insulin-like growth factor-binding protein 3,8.54,Geyer Only,Mid,
B3KRZ1,275.0,,Insulin-like growth factor-binding protein 3,8.54,Geyer Only,Mid,
C9JMX4,275.0,,Insulin-like growth factor-binding protein 3,8.54,Geyer Only,Mid,
H0Y485,275.0,,Insulin-like growth factor-binding protein 3,8.54,Geyer Only,Mid,
Q96AQ6,276.0,,Pre-B-cell leukemia transcription factor-interacting protein 1,8.54,Geyer Only,Mid,
F5H6Z1,276.0,,Pre-B-cell leukemia transcription factor-interacting protein 1,8.54,Geyer Only,Mid,
B4E1J0,276.0,,Pre-B-cell leukemia transcription factor-interacting protein 1,8.54,Geyer Only,Mid,
F5H2F6,276.0,,Pre-B-cell leukemia transcription factor-interacting protein 1,8.54,Geyer Only,Mid,
Q96AQ6-3,276.0,,Pre-B-cell leukemia transcription factor-interacting protein 1,8.54,Geyer Only,Mid,
Q96AQ6-2,276.0,,Pre-B-cell leukemia transcription factor-interacting protein 1,8.54,Geyer Only,Mid,
P13473,277.0,,Lysosome-associated membrane glycoprotein 2,8.53,Geyer Only,Mid,
P13473-2,277.0,,Lysosome-associated membrane glycoprotein 2,8.53,Geyer Only,Mid,
B4E2S7,277.0,,Lysosome-associated membrane glycoprotein 2,8.53,Geyer Only,Mid,
P13473-3,277.0,,Lysosome-associated membrane glycoprotein 2,8.53,Geyer Only,Mid,
B7Z2R9,277.0,,Lysosome-associated membrane glycoprotein 2,8.53,Geyer Only,Mid,
H0YCG2,277.0,,Lysosome-associated membrane glycoprotein 2,8.53,Geyer Only,Mid,
E9PFT6,278.0,,Hemoglobin subunit delta,8.53,Geyer Only,Mid,
E9PEW8,278.0,,Hemoglobin subunit delta,8.53,Geyer Only,Mid,
P62826,279.0,,GTP-binding nuclear protein Ran,8.51,Geyer Only,Mid,
B5MDF5,279.0,,GTP-binding nuclear protein Ran,8.51,Geyer Only,Mid,
F5H018,279.0,,GTP-binding nuclear protein Ran,8.51,Geyer Only,Mid,
H0YFC6,279.0,,GTP-binding nuclear protein Ran,8.51,Geyer Only,Mid,
B4DV51,279.0,,GTP-binding nuclear protein Ran,8.51,Geyer Only,Mid,
P05062,280.0,,Fructose-bisphosphate aldolase B,8.51,Geyer Only,Mid,
C9J4K3,280.0,,Fructose-bisphosphate aldolase B,8.51,Geyer Only,Mid,
Q5T7D5,280.0,,Fructose-bisphosphate aldolase B,8.51,Geyer Only,Mid,
P53597,281.0,,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",8.5,Geyer Only,Mid,
P08195,282.0,,4F2 cell-surface antigen heavy chain,8.5,Geyer Only,Mid,
P08195-3,282.0,,4F2 cell-surface antigen heavy chain,8.5,Geyer Only,Mid,
B4E2Z3,282.0,,4F2 cell-surface antigen heavy chain,8.5,Geyer Only,Mid,
F5GZS6,282.0,,4F2 cell-surface antigen heavy chain,8.5,Geyer Only,Mid,
P08195-2,282.0,,4F2 cell-surface antigen heavy chain,8.5,Geyer Only,Mid,
P08195-4,282.0,,4F2 cell-surface antigen heavy chain,8.5,Geyer Only,Mid,
P68133,283.0,,"Actin, alpha skeletal muscle;Actin, alpha cardiac muscle 1",8.5,Geyer Only,Mid,
P68032,283.0,,"Actin, alpha skeletal muscle;Actin, alpha cardiac muscle 1",8.5,Geyer Only,Mid,
Q5T8M8,283.0,,"Actin, alpha skeletal muscle;Actin, alpha cardiac muscle 1",8.5,Geyer Only,Mid,
A6NL76,283.0,,"Actin, alpha skeletal muscle;Actin, alpha cardiac muscle 1",8.5,Geyer Only,Mid,
E7EQV5,283.0,,"Actin, alpha skeletal muscle;Actin, alpha cardiac muscle 1",8.5,Geyer Only,Mid,
C9JUM1,283.0,,"Actin, alpha skeletal muscle;Actin, alpha cardiac muscle 1",8.5,Geyer Only,Mid,
Q9UPU7,284.0,,TBC1 domain family member 2B,8.49,Geyer Only,Mid,
Q9UPU7-2,284.0,,TBC1 domain family member 2B,8.49,Geyer Only,Mid,
Q9UPU7-3,284.0,,TBC1 domain family member 2B,8.49,Geyer Only,Mid,
P01780,285.0,,Ig heavy chain V-III region JON,8.48,Geyer Only,Mid,
P13639,286.0,,Elongation factor 2,8.47,Geyer Only,Mid,
B4DPU3,286.0,,Elongation factor 2,8.47,Geyer Only,Mid,
F5H370,286.0,,Elongation factor 2,8.47,Geyer Only,Mid,
Q12913,287.0,,Receptor-type tyrosine-protein phosphatase eta,8.47,Geyer Only,Mid,
Q9NPR5,287.0,,Receptor-type tyrosine-protein phosphatase eta,8.47,Geyer Only,Mid,
Q12913-2,287.0,,Receptor-type tyrosine-protein phosphatase eta,8.47,Geyer Only,Mid,
P08107,288.0,,Heat shock 70 kDa protein 1A/1B,8.46,Geyer Only,Mid,
H0YG33,288.0,,Heat shock 70 kDa protein 1A/1B,8.46,Geyer Only,Mid,
F8VZJ4,288.0,,Heat shock 70 kDa protein 1A/1B,8.46,Geyer Only,Mid,
F5H1D3,288.0,,Heat shock 70 kDa protein 1A/1B,8.46,Geyer Only,Mid,
F5GZ62,288.0,,Heat shock 70 kDa protein 1A/1B,8.46,Geyer Only,Mid,
E7EP94,288.0,,Heat shock 70 kDa protein 1A/1B,8.46,Geyer Only,Mid,
Q5SP16,288.0,,Heat shock 70 kDa protein 1A/1B,8.46,Geyer Only,Mid,
P01608,289.0,,Ig kappa chain V-I region Roy,8.45,Geyer Only,Mid,
P33121,290.0,,Long-chain-fatty-acid--CoA ligase 1,8.45,Geyer Only,Mid,
B7Z3Z9,290.0,,Long-chain-fatty-acid--CoA ligase 1,8.45,Geyer Only,Mid,
E7EPM6,290.0,,Long-chain-fatty-acid--CoA ligase 1,8.45,Geyer Only,Mid,
P33121-2,290.0,,Long-chain-fatty-acid--CoA ligase 1,8.45,Geyer Only,Mid,
B7Z452,290.0,,Long-chain-fatty-acid--CoA ligase 1,8.45,Geyer Only,Mid,
D6RER0,290.0,,Long-chain-fatty-acid--CoA ligase 1,8.45,Geyer Only,Mid,
P61978,291.0,,Heterogeneous nuclear ribonucleoprotein K,8.44,Geyer Only,Mid,
P61978-2,291.0,,Heterogeneous nuclear ribonucleoprotein K,8.44,Geyer Only,Mid,
Q5T6W5,291.0,,Heterogeneous nuclear ribonucleoprotein K,8.44,Geyer Only,Mid,
P61978-3,291.0,,Heterogeneous nuclear ribonucleoprotein K,8.44,Geyer Only,Mid,
Q5T6W2,291.0,,Heterogeneous nuclear ribonucleoprotein K,8.44,Geyer Only,Mid,
B4DFF1,291.0,,Heterogeneous nuclear ribonucleoprotein K,8.44,Geyer Only,Mid,
Q5T6W1,291.0,,Heterogeneous nuclear ribonucleoprotein K,8.44,Geyer Only,Mid,
Q92859,292.0,,Neogenin,8.43,Geyer Only,Mid,
Q92859-3,292.0,,Neogenin,8.43,Geyer Only,Mid,
Q92859-2,292.0,,Neogenin,8.43,Geyer Only,Mid,
